"ligand","receptor","LR pair"
"SLC40A1","HAMP","SLC40A1 - HAMP"
"KCNIP1","KCNIP2","KCNIP1 - KCNIP2"
"FBLN5","SERPINE1","FBLN5 - SERPINE1"
"CGB","CGA","CGB - CGA"
"MMP7","ELN","MMP7 - ELN"
"TNFSF14","TNFRSF14","TNFSF14 - TNFRSF14"
"ELN","LOX","ELN - LOX"
"ELN","BGN","ELN - BGN"
"ELN","FBN2","ELN - FBN2"
"COL4A3","ITGA3","COL4A3 - ITGA3"
"SERPINE2","COL4A2","SERPINE2 - COL4A2"
"COL4A3","SAA2","COL4A3 - SAA2"
"MASP1","C2","MASP1 - C2"
"MASP1","SERPING1","MASP1 - SERPING1"
"SERPINE2","F2","SERPINE2 - F2"
"FGF10","FGFR2","FGF10 - FGFR2"
"IL12B","IL12RB1","IL12B - IL12RB1"
"MMP7","NGF","MMP7 - NGF"
"IGFBP3","KLKB1","IGFBP3 - KLKB1"
"NR2C2","ESR1","NR2C2 - ESR1"
"BGN","BMP4","BGN - BMP4"
"FGF10","FGFBP1","FGF10 - FGFBP1"
"EBP","ESRRG","EBP - ESRRG"
"AGTRAP","AGTR1","AGTRAP - AGTR1"
"ITGAV","ITGB3","ITGAV - ITGB3"
"CD40LG","ITGA5","CD40LG - ITGA5"
"ITGAV","IL32","ITGAV - IL32"
"BGN","APOB","BGN - APOB"
"BGN","COL1A2","BGN - COL1A2"
"ITGAV","ITGB8","ITGAV - ITGB8"
"ENPP1","INSR","ENPP1 - INSR"
"ITGAV","MMP2","ITGAV - MMP2"
"BGN","TGFB1","BGN - TGFB1"
"ITGAV","F2R","ITGAV - F2R"
"FST","INHBE","FST - INHBE"
"CNTFR","CRLF1","CNTFR - CRLF1"
"CNTFR","CLCF1","CNTFR - CLCF1"
"ACHE","LAMA1","ACHE - LAMA1"
"ACHE","ACHE","ACHE - ACHE"
"PTPRZ1","CNTN1","PTPRZ1 - CNTN1"
"SSTR5","SSTR5","SSTR5 - SSTR5"
"MST1R","PLXNB1","MST1R - PLXNB1"
"MST1R","PLXNB2","MST1R - PLXNB2"
"ITGAM","PLAUR","ITGAM - PLAUR"
"ITGB8","TGFB1","ITGB8 - TGFB1"
"ITGAM","JAM3","ITGAM - JAM3"
"PTPRZ1","PTN","PTPRZ1 - PTN"
"GRIA2","GRIA3","GRIA2 - GRIA3"
"CD40LG","CD40LG","CD40LG - CD40LG"
"ANGPTL7","ANGPTL7","ANGPTL7 - ANGPTL7"
"GRIK2","CASK","GRIK2 - CASK"
"GRIK2","GRIK5","GRIK2 - GRIK5"
"PGR","PGR","PGR - PGR"
"IL37","IL18BP","IL37 - IL18BP"
"CALCR","MBL2","CALCR - MBL2"
"USH2A","COL4A3","USH2A - COL4A3"
"CCL11","ACKR2","CCL11 - ACKR2"
"INHBC","ACVR2B","INHBC - ACVR2B"
"PTPRB","PTPRB","PTPRB - PTPRB"
"APP","GSN","APP - GSN"
"NR3C1","NTRK2","NR3C1 - NTRK2"
"HNF4A","HNF4A","HNF4A - HNF4A"
"GPR151","GAL","GPR151 - GAL"
"LAMB3","THBS1","LAMB3 - THBS1"
"EFNB1","EFNB1","EFNB1 - EFNB1"
"INHBA","ACVR2B","INHBA - ACVR2B"
"BMPR1A","BMP2","BMPR1A - BMP2"
"PGR","HSP90AA1","PGR - HSP90AA1"
"BMPR1A","BMP5","BMPR1A - BMP5"
"CD2","LGALS1","CD2 - LGALS1"
"IL20RA","IL20RA","IL20RA - IL20RA"
"PVR","PLA2G3","PVR - PLA2G3"
"CCR2","CCR5","CCR2 - CCR5"
"CCR2","CCL11","CCR2 - CCL11"
"CFH","ADM","CFH - ADM"
"PTPRB","CNTN1","PTPRB - CNTN1"
"INHBA","INHBB","INHBA - INHBB"
"NRP2","SEMA4F","NRP2 - SEMA4F"
"PTPRB","PTN","PTPRB - PTN"
"IL7R","CRLF2","IL7R - CRLF2"
"IL7R","TSLP","IL7R - TSLP"
"PGF","PGF","PGF - PGF"
"PGF","VEGFA","PGF - VEGFA"
"CCR2","CCR2","CCR2 - CCR2"
"FCGR3B","APCS","FCGR3B - APCS"
"IL6","IL6R","IL6 - IL6R"
"RBP4","TTR","RBP4 - TTR"
"IL18","IFNG","IL18 - IFNG"
"DST","ITGB4","DST - ITGB4"
"PTPRC","MBL2","PTPRC - MBL2"
"TGFBR2","TGFBR1","TGFBR2 - TGFBR1"
"NR1H2","COL4A5","NR1H2 - COL4A5"
"NR1H2","LAMC3","NR1H2 - LAMC3"
"PTPRC","PTPRC","PTPRC - PTPRC"
"EGFR","CDH1","EGFR - CDH1"
"EGFR","EGFR","EGFR - EGFR"
"NR4A2","RXRB","NR4A2 - RXRB"
"NR4A2","RXRA","NR4A2 - RXRA"
"FN1","CRP","FN1 - CRP"
"FN1","COL4A6","FN1 - COL4A6"
"FN1","PRELP","FN1 - PRELP"
