"ligand","receptor","LR pair"
"A2m","Lrp1","A2m - Lrp1"
"Aanat","Mtnr1a","Aanat - Mtnr1a"
"Aanat","Mtnr1b","Aanat - Mtnr1b"
"Ace","Agtr2","Ace - Agtr2"
"Ace","Bdkrb2","Ace - Bdkrb2"
"Adam10","Axl","Adam10 - Axl"
"Adam10","Epha3","Adam10 - Epha3"
"Adam12","Itga9","Adam12 - Itga9"
"Adam12","Itgb1","Adam12 - Itgb1"
"Adam12","Sdc4","Adam12 - Sdc4"
"Adam15","Itga5","Adam15 - Itga5"
"Adam15","Itga9","Adam15 - Itga9"
"Adam15","Itgav","Adam15 - Itgav"
"Adam15","Itgb1","Adam15 - Itgb1"
"Adam15","Itgb3","Adam15 - Itgb3"
"Adam17","Erbb4","Adam17 - Erbb4"
"Adam17","Itga5","Adam17 - Itga5"
"Adam17","Itgb1","Adam17 - Itgb1"
"Adam17","Notch1","Adam17 - Notch1"
"Adam2","Cd9","Adam2 - Cd9"
"Adam2","Itga6","Adam2 - Itga6"
"Adam2","Itga9","Adam2 - Itga9"
"Adam2","Itgb1","Adam2 - Itgb1"
"Adam2","Itgb7","Adam2 - Itgb7"
"Adam23","Itga5","Adam23 - Itga5"
"Adam23","Itgb3","Adam23 - Itgb3"
"Adam28","Itga4","Adam28 - Itga4"
"Adam9","Itga3","Adam9 - Itga3"
"Adam9","Itga6","Adam9 - Itga6"
"Adam9","Itgav","Adam9 - Itgav"
"Adam9","Itgb1","Adam9 - Itgb1"
"Adam9","Itgb5","Adam9 - Itgb5"
"Adcyap1","Adcyap1r1","Adcyap1 - Adcyap1r1"
"Adcyap1","Sctr","Adcyap1 - Sctr"
"Adcyap1","Vipr1","Adcyap1 - Vipr1"
"Adcyap1","Vipr2","Adcyap1 - Vipr2"
"Adipoq","Adipor1","Adipoq - Adipor1"
"Adipoq","Adipor2","Adipoq - Adipor2"
"Adm","Calcr","Adm - Calcr"
"Adm","Calcrl","Adm - Calcrl"
"Adm","Gpr182","Adm - Gpr182"
"Adm","Mrgprx2","Adm - Mrgprx2"
"Adm","Ramp2","Adm - Ramp2"
"Adm2","Calcr","Adm2 - Calcr"
"Adm2","Calcrl","Adm2 - Calcrl"
"Adm2","Ramp1","Adm2 - Ramp1"
"Agrn","Atp1a3","Agrn - Atp1a3"
"Agrn","Lrp4","Agrn - Lrp4"
"Agrn","Musk","Agrn - Musk"
"Agrp","Mc3r","Agrp - Mc3r"
"Agrp","Mc4r","Agrp - Mc4r"
"Agrp","Mc5r","Agrp - Mc5r"
"Agrp","Sdc3","Agrp - Sdc3"
"Agt","Agtr1a","Agt - Agtr1a"
"Agt","Agtr2","Agt - Agtr2"
"Agt","Lrp2","Agt - Lrp2"
"Agt","Mas1","Agt - Mas1"
"Ahsg","Insr","Ahsg - Insr"
"Alb","Lrp2","Alb - Lrp2"
"Alox5ap","Alox5","Alox5ap - Alox5"
"Amelx","Lamp1","Amelx - Lamp1"
"Amh","Acvr1","Amh - Acvr1"
"Amh","Amhr2","Amh - Amhr2"
"Amh","Egfr","Amh - Egfr"
"Angpt1","Itga5","Angpt1 - Itga5"
"Angpt1","Itgb1","Angpt1 - Itgb1"
"Angpt1","Tek","Angpt1 - Tek"
"Angpt1","Tie1","Angpt1 - Tie1"
"Angpt2","Tek","Angpt2 - Tek"
"Angpt2","Tie1","Angpt2 - Tie1"
"Angpt4","Tek","Angpt4 - Tek"
"Angpt4","Tie1","Angpt4 - Tie1"
"Angptl1","Tek","Angptl1 - Tek"
"Angptl2","Tie1","Angptl2 - Tie1"
"Angptl3","Itga5","Angptl3 - Itga5"
"Angptl3","Itgav","Angptl3 - Itgav"
"Angptl3","Itgb3","Angptl3 - Itgb3"
"Angptl4","Tie1","Angptl4 - Tie1"
"Anxa1","Dysf","Anxa1 - Dysf"
"Anxa1","Egfr","Anxa1 - Egfr"
"Anxa1","Fpr1","Anxa1 - Fpr1"
"Anxa1","Fpr2","Anxa1 - Fpr2"
"Anxa1","Fpr3","Anxa1 - Fpr3"
"Apln","Aplnr","Apln - Aplnr"
"Apob","Calcr","Apob - Calcr"
"Apob","Itgam","Apob - Itgam"
"Apob","Itgb2","Apob - Itgb2"
"Apob","Ldlr","Apob - Ldlr"
"Apob","Lrp2","Apob - Lrp2"
"Apob","Lrp6","Apob - Lrp6"
"Apob","Lrp8","Apob - Lrp8"
"Apob","Lsr","Apob - Lsr"
"Apob","Olr1","Apob - Olr1"
"Apoc3","Sdc2","Apoc3 - Sdc2"
"Apoc3","Tlr2","Apoc3 - Tlr2"
"Apod","Lepr","Apod - Lepr"
"Apoe","Chrna4","Apoe - Chrna4"
"Apoe","Ldlr","Apoe - Ldlr"
"Apoe","Lrp1","Apoe - Lrp1"
"Apoe","Lrp2","Apoe - Lrp2"
"Apoe","Lrp5","Apoe - Lrp5"
"Apoe","Lrp8","Apoe - Lrp8"
"Apoe","Scarb1","Apoe - Scarb1"
"Apoe","Sorl1","Apoe - Sorl1"
"Apoe","Vldlr","Apoe - Vldlr"
"App","Cav1","App - Cav1"
"App","Cd74","App - Cd74"
"App","Fpr2","App - Fpr2"
"App","Gpc1","App - Gpc1"
"App","Lrp1","App - Lrp1"
"App","Ncstn","App - Ncstn"
"App","Ngfr","App - Ngfr"
"App","Slc45a3","App - Slc45a3"
"App","Tnfrsf21","App - Tnfrsf21"
"Areg","Egfr","Areg - Egfr"
"Areg","Erbb3","Areg - Erbb3"
"Arf1","Chrm3","Arf1 - Chrm3"
"Arf1","Insr","Arf1 - Insr"
"Arf1","Pld2","Arf1 - Pld2"
"Artn","Gfra1","Artn - Gfra1"
"Artn","Gfra3","Artn - Gfra3"
"Artn","Ret","Artn - Ret"
"Avp","Avpr1a","Avp - Avpr1a"
"Avp","Avpr1b","Avp - Avpr1b"
"Avp","Avpr2","Avp - Avpr2"
"Avp","Oxtr","Avp - Oxtr"
"Azgp1","Itgav","Azgp1 - Itgav"
"B2m","Cd247","B2m - Cd247"
"B2m","Cd3d","B2m - Cd3d"
"B2m","Cd3g","B2m - Cd3g"
"B2m","Hfe","B2m - Hfe"
"B2m","Kir3dl1","B2m - Kir3dl1"
"B2m","Klrc1","B2m - Klrc1"
"B2m","Klrd1","B2m - Klrd1"
"B2m","Tfrc","B2m - Tfrc"
"Bc055324","Plscr4","Bc055324 - Plscr4"
"Bcan","Egfr","Bcan - Egfr"
"Bcan","Nrcam","Bcan - Nrcam"
"Bdnf","Ddr1","Bdnf - Ddr1"
"Bdnf","Drd4","Bdnf - Drd4"
"Bdnf","Ngfr","Bdnf - Ngfr"
"Bdnf","Ntrk2","Bdnf - Ntrk2"
"Bdnf","Sort1","Bdnf - Sort1"
"Bgn","Ly96","Bgn - Ly96"
"Bgn","Tlr1","Bgn - Tlr1"
"Bgn","Tlr2","Bgn - Tlr2"
"Bgn","Tlr4","Bgn - Tlr4"
"Bmp10","Acvr1","Bmp10 - Acvr1"
"Bmp10","Acvr2a","Bmp10 - Acvr2a"
"Bmp10","Acvr2b","Bmp10 - Acvr2b"
"Bmp10","Acvrl1","Bmp10 - Acvrl1"
"Bmp10","Bmpr1a","Bmp10 - Bmpr1a"
